Id,Category
0,98
1,20
2,10
3,54
4,81
5,22
6,92
7,74
8,94
9,88
10,90
11,42
12,84
13,97
14,63
15,43
16,19
17,20
18,4
19,31
20,12
21,56
22,60
23,30
24,49
25,28
26,6
27,56
28,54
29,34
30,84
31,13
32,8
33,63
34,14
35,62
36,88
37,49
38,90
39,69
40,85
41,52
42,24
43,57
44,95
45,42
46,38
47,0
48,15
49,21
50,82
51,56
52,12
53,21
54,41
55,56
56,60
57,57
58,4
59,3
60,27
61,73
62,43
63,61
64,9
65,48
66,67
67,84
68,42
69,24
70,24
71,0
72,98
73,52
74,77
75,39
76,97
77,57
78,50
79,81
80,59
81,46
82,50
83,85
84,57
85,89
86,0
87,23
88,53
89,82
90,32
91,52
92,53
93,44
94,84
95,80
96,17
97,6
98,19
99,90
100,32
101,84
102,8
103,59
104,39
105,98
106,34
107,90
108,38
109,71
110,17
111,29
112,12
113,82
114,49
115,55
116,80
117,3
118,72
119,87
120,80
121,94
122,39
123,46
124,51
125,10
126,77
127,0
128,58
129,14
130,78
131,6
132,5
133,30
134,61
135,42
136,88
137,57
138,9
139,60
140,17
141,18
142,76
143,97
144,36
145,51
146,18
147,75
148,88
149,38
150,73
151,12
152,80
153,77
154,20
155,64
156,99
157,82
158,81
159,54
160,16
161,57
162,73
163,84
164,90
165,21
166,39
167,81
168,8
169,95
170,11
171,87
172,58
173,45
174,7
175,70
176,8
177,55
178,39
179,18
180,28
181,45
182,85
183,33
184,89
185,77
186,34
187,10
188,49
189,26
190,35
191,85
192,62
193,64
194,11
195,80
196,62
197,26
198,48
199,32
200,54
201,33
202,83
203,50
204,34
205,8
206,46
207,39
208,13
209,68
210,79
211,14
212,63
213,54
214,90
215,29
216,49
217,67
218,72
219,88
220,17
221,93
222,54
223,23
224,26
225,32
226,20
227,85
228,25
229,52
230,89
231,31
232,97
233,10
234,16
235,12
236,60
237,48
238,71
239,2
240,64
241,5
242,13
243,80
244,20
245,62
246,42
247,42
248,57
249,9
250,32
251,14
252,51
253,20
254,73
255,52
256,19
257,34
258,4
259,34
260,57
261,78
262,25
263,13
264,42
265,19
266,2
267,97
268,29
269,40
270,50
271,49
272,27
273,90
274,21
275,8
276,26
277,17
278,69
279,99
280,14
281,7
282,35
283,21
284,41
285,18
286,60
287,37
288,51
289,22
290,15
291,2
292,3
293,45
294,25
295,51
296,96
297,77
298,28
299,15
300,45
301,84
302,7
303,31
304,34
305,84
306,52
307,49
308,20
309,3
310,16
311,54
312,61
313,66
314,19
315,18
316,75
317,47
318,31
319,55
320,41
321,11
322,92
323,7
324,17
325,34
326,11
327,76
328,45
329,87
330,6
331,49
332,24
333,89
334,29
335,21
336,84
337,56
338,56
339,4
340,7
341,23
342,25
343,90
344,51
345,65
346,52
347,25
348,11
349,63
350,69
351,56
352,90
353,53
354,50
355,62
356,66
357,75
358,15
359,29
360,75
361,54
362,82
363,29
364,34
365,42
366,98
367,90
368,28
369,20
370,6
371,82
372,4
373,47
374,22
375,7
376,81
377,2
378,47
379,81
380,61
381,46
382,1
383,82
384,81
385,0
386,55
387,21
388,1
389,75
390,17
391,9
392,21
393,26
394,88
395,30
396,63
397,43
398,12
399,81
400,76
401,18
402,52
403,22
404,97
405,35
406,65
407,10
408,19
409,91
410,74
411,58
412,7
413,49
414,12
415,58
416,48
417,66
418,96
419,17
420,98
421,28
422,6
423,23
424,64
425,49
426,58
427,94
428,70
429,81
430,58
431,47
432,65
433,70
434,34
435,13
436,85
437,60
438,82
439,76
440,87
441,73
442,34
443,6
444,87
445,8
446,89
447,13
448,22
449,63
450,56
451,27
452,59
453,65
454,57
455,94
456,89
457,56
458,45
459,16
460,86
461,60
462,23
463,16
464,77
465,50
466,53
467,37
468,28
469,95
470,31
471,66
472,70
473,21
474,38
475,78
476,19
477,53
478,77
479,71
480,66
481,62
482,26
483,46
484,40
485,25
486,70
487,67
488,76
489,31
490,40
491,9
492,36
493,61
494,48
495,37
496,41
497,38
498,42
499,5
500,78
501,73
502,2
503,28
504,86
505,10
506,59
507,4
508,20
509,31
510,83
511,83
512,48
513,82
514,1
515,81
516,46
517,95
518,42
519,17
520,8
521,63
522,98
523,63
524,87
525,61
526,83
527,32
528,89
529,7
530,12
531,53
532,10
533,58
534,31
535,82
536,87
537,35
538,23
539,42
540,8
541,30
542,35
543,82
544,81
545,85
546,8
547,43
548,86
549,88
550,71
551,37
552,71
553,57
554,84
555,53
556,97
557,93
558,36
559,10
560,71
561,70
562,30
563,64
564,41
565,20
566,98
567,83
568,10
569,28
570,2
571,36
572,83
573,18
574,8
575,74
576,39
577,24
578,87
579,62
580,82
581,51
582,96
583,68
584,31
585,39
586,92
587,59
588,8
589,10
590,67
591,18
592,24
593,51
594,27
595,75
596,7
597,57
598,75
599,59
600,15
601,45
602,40
603,91
604,63
605,70
606,33
607,70
608,56
609,64
610,72
611,23
612,86
613,29
614,75
615,10
616,9
617,23
618,28
619,86
620,78
621,57
622,7
623,64
624,44
625,11
626,68
627,22
628,36
629,43
630,49
631,70
632,94
633,16
634,4
635,94
636,23
637,56
638,8
639,84
640,59
641,12
642,48
643,27
644,0
645,99
646,31
647,76
648,12
649,58
650,81
651,74
652,78
653,70
654,93
655,24
656,65
657,62
658,9
659,67
660,37
661,67
662,59
663,45
664,75
665,53
666,28
667,31
668,90
669,9
670,94
671,58
672,38
673,16
674,47
675,54
676,35
677,14
678,56
679,44
680,36
681,78
682,49
683,8
684,12
685,56
686,56
687,49
688,99
689,88
690,8
691,1
692,41
693,5
694,15
695,24
696,59
697,31
698,1
699,2
700,16
701,71
702,9
703,67
704,9
705,25
706,71
707,87
708,5
709,1
710,54
711,83
712,51
713,56
714,81
715,84
716,87
717,28
718,71
719,78
720,85
721,42
722,2
723,65
724,32
725,72
726,17
727,12
728,91
729,33
730,13
731,19
732,60
733,15
734,85
735,5
736,35
737,82
738,48
739,11
740,33
741,64
742,92
743,18
744,2
745,15
746,33
747,25
748,58
749,41
750,28
751,56
752,79
753,4
754,7
755,84
756,97
757,85
758,88
759,77
760,46
761,9
762,48
763,86
764,33
765,24
766,7
767,33
768,84
769,17
770,29
771,64
772,23
773,57
774,8
775,28
776,44
777,88
778,42
779,16
780,93
781,77
782,1
783,79
784,28
785,57
786,43
787,85
788,23
789,36
790,56
791,94
792,71
793,8
794,70
795,68
796,84
797,42
798,95
799,43
800,95
801,44
802,94
